Level0_profiles,MULakeNumber,year,month,day,csv,Level0to1_done,Level0to1_done_date,profile_date,maxDepth_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,doConcentration_mgpL_bottom,doConcentration_mgpL_bottom5mean,nrow_original_Level0,nrow_readProfile,nrow_Level1,Level1FileName
094-EA-05-00_2020_10_05.csv,094-EA-05-00,2020,10,05,csv,Yes,2026-01-28,2020-10-05,2.035,37.48210590909091,-94.24338704545455,286.7022727272727,988.1909090909091,5.81,6.12,121,121,44,094-EA-05-00_2020_10_05_Level1.csv
094-EA-05-00_2020_11_04.csv,094-EA-05-00,2020,11,04,csv,Yes,2026-01-28,2020-11-04,2.536,37.48230369565218,-94.24332,288.6086956521739,989.7586956521739,5.98,6.1883333333333335,72,72,46,094-EA-05-00_2020_11_04_Level1.csv
094-EA-05-02_2020_06_26.csv,094-EA-05-02,2020,06,26,csv,Yes,2026-01-28,2020-06-26,1.768,37.482863611111114,-94.24555694444444,287.93888888888887,981.1194444444445,6.1,6.623333333333333,127,127,36,094-EA-05-02_2020_06_26_Level1.csv
094-EA-05-02_2020_07_27.csv,094-EA-05-02,2020,07,27,csv,Yes,2026-01-28,2020-07-27,1.6573333333333333,NA,NA,NA,982.6196078431373,8.67,8.081111111111111,366,123,34,094-EA-05-02_2020_07_27_Level1.csv
094-EA-05-02_2020_10_05.csv,094-EA-05-02,2020,10,05,csv,Yes,2026-01-28,2020-10-05,2.983,37.48322291139241,-94.24705367088607,284.06708860759494,988.8784810126582,6.48,6.566666666666666,131,131,79,094-EA-05-02_2020_10_05_Level1.csv
094-EA-05-02_2020_11_04.csv,094-EA-05-02,2020,11,04,csv,Yes,2026-01-28,2020-11-04,2.437,37.48304430769231,-94.24590923076923,285.82615384615383,989.7984615384615,7.55,7.58,116,116,65,094-EA-05-02_2020_11_04_Level1.csv
094-MD-04-00_2020_06_25.csv,094-MD-04-00,2020,06,25,csv,Yes,2026-01-28,2020-06-25,3.231,37.483082987012985,-94.25101155844156,288.9038961038961,978.7285714285714,0.85,1.0216666666666667,111,111,77,094-MD-04-00_2020_06_25_Level1.csv
094-MD-04-00_2020_07_27.csv,094-MD-04-00,2020,07,27,csv,Yes,2026-01-28,2020-07-27,3.239,NA,NA,NA,982.3579710144927,0.58,4.296666666666667,196,196,69,094-MD-04-00_2020_07_27_Level1.csv
094-MD-04-00_2020_08_25.csv,094-MD-04-00,2020,08,25,csv,Yes,2026-01-28,2020-08-25,3.371,37.482842125,-94.25322725,288.4525,983.1875,0.43,0.5616666666666666,152,152,80,094-MD-04-00_2020_08_25_Level1.csv
094-MD-04-00_2020_10_06.csv,094-MD-04-00,2020,10,06,csv,Yes,2026-01-28,2020-10-06,3.231,37.482830735294115,-94.25214588235293,288.3558823529412,988.4014705882353,7.42,7.498333333333333,134,134,68,094-MD-04-00_2020_10_06_Level1.csv
094-MD-04-00_2020_11_04.csv,094-MD-04-00,2020,11,04,csv,Yes,2026-01-28,2020-11-04,2.923,37.48326186440678,-94.25094033898306,288.9271186440678,989.1745762711864,8.02,8.043333333333333,177,177,59,094-MD-04-00_2020_11_04_Level1.csv
094-NA-05-00_2020_06_26.csv,094-NA-05-00,2020,06,26,csv,Yes,2026-01-28,2020-06-26,2.28,37.485843018867925,-94.25084490566037,286.57924528301885,981.0283018867924,5.43,5.984999999999999,105,105,53,094-NA-05-00_2020_06_26_Level1.csv
094-NA-05-00_2020_07_27.csv,094-NA-05-00,2020,07,27,csv,Yes,2026-01-28,2020-07-27,2.701,NA,NA,NA,981.9699346405229,4.6033333333333335,5.767777777777778,263,88,51,094-NA-05-00_2020_07_27_Level1.csv
094-NA-05-00_2020_08_24.csv,094-NA-05-00,2020,08,24,csv,Yes,2026-01-28,2020-08-24,2.078,37.485503111111115,-94.25079155555555,283.9533333333333,982.3533333333334,10.55,10.75,75,75,45,094-NA-05-00_2020_08_24_Level1.csv
094-NA-05-00_2020_10_05.csv,094-NA-05-00,2020,10,05,csv,Yes,2026-01-28,2020-10-05,2.652,37.48545017241379,-94.25089879310345,287.04137931034484,987.3982758620689,6.75,8.379999999999999,126,126,58,094-NA-05-00_2020_10_05_Level1.csv
094-NA-05-00_2020_11_04.csv,094-NA-05-00,2020,11,04,csv,Yes,2026-01-28,2020-11-04,2.115,37.48544642857143,-94.25080375,288.99821428571425,989.4553571428571,8.37,8.37,83,83,56,094-NA-05-00_2020_11_04_Level1.csv
094-SA-03-00_2020_06_26.csv,094-SA-03-00,2020,06,26,csv,Yes,2026-01-28,2020-06-26,2.049,37.47936,-94.25289777777778,290.09777777777776,981.2822222222222,4.92,5.878333333333333,104,104,45,094-SA-03-00_2020_06_26_Level1.csv
094-SA-03-00_2020_07_27.csv,094-SA-03-00,2020,07,27,csv,Yes,2026-01-28,2020-07-27,2.131,NA,NA,NA,981.8546666666666,7.823333333333333,7.624444444444444,298,100,50,094-SA-03-00_2020_07_27_Level1.csv
094-SA-03-00_2020_08_24.csv,094-SA-03-00,2020,08,24,csv,Yes,2026-01-28,2020-08-24,3.161,37.480023333333335,-94.25376604166667,287.73541666666665,981.9354166666667,0.53,0.72,76,76,48,094-SA-03-00_2020_08_24_Level1.csv
094-SA-03-00_2020_10_05.csv,094-SA-03-00,2020,10,05,csv,Yes,2026-01-28,2020-10-05,1.787,37.480227551020405,-94.25364020408163,287.3408163265306,987.0081632653062,8.42,8.595,125,125,49,094-SA-03-00_2020_10_05_Level1.csv
094-SA-03-00_2020_11_04.csv,094-SA-03-00,2020,11,04,csv,Yes,2026-01-28,2020-11-04,1.291,37.47929324324324,-94.25289351351351,289.8540540540541,989.3135135135135,7.42,7.495,65,65,37,094-SA-03-00_2020_11_04_Level1.csv
